
2;01/09/2025 10:00:0;200.00;0;2
3;01/09/205 10:00:00;200.00;0;2
1024;18/10/2025 08:00:00;600.00;3;1
5;10:00:00;200.00;0;2
6;01/09/2025 10:00:00;200.00;0;2
6;01/08/2025 10:00:00;200.00;0;2
7;01/08/2025 10:00:00;200.00;0
8;01/08/2025 10:00:00;0
1001;01/09/2025 10:00:00;200.00;0;1
1002;01/09/2025 11:00:00;100.00;1;0
1003;02/09/2025 09:30:00;300.00;1;2
1004;02/09/2025 12:00:00;200.00;1;3
2000;02/09/2025 12:00:00;200.00;1;4
1020;01/09/2025 10:00:00;200.00;12;4
1006;04/09/2025 10:00:00;200.00;3;0
1021;06/10/2025 08:00:00;200.00;3;1
1022;16/10/2025 08:00:00;200.00;3;1
1023;17/10/2025 08:00:00;400.00;3;1
1025;19/10/2025 08:00:00;500.00;3;1
1026;28/10/2025 08:00:00;900.00;3;1
1027;19/10/2025 08:00:00;700.00;4;3
1005;03/09/2025 08:00:00;50.00;2;4
1007;04/09/2025 10:10:00;100.00;3;10
1008;05/09/2025 09:00:00;1000.00;5;6
1009;06/09/2025 14:00:00;1500.00;6;5
1;01/09/2025 10:00:00;200.00;0;2
1010;06/09/2025 14:05:00;800.00;6;7
1011;12/09/2025 10:00:00;500.00;1;7
1010;13/09/2025 09:00:00;10.00;8;1
8;01/08/2025 10:00:00;1;0
1012;xx/09/2025 09:00:00;10.00;9;1
1013;07/09/2025 08:00:00;-20.00;1;0
1014;07/09/2025 09:00:00;100.00;999;1
1015;07/09/2025 09:05:00;100.00;1;999
101A;04/09/2025 10:20:00;100.00;3;4
4;01/09/2025;200.00;0;2
1016;04/0C/2025 10:20:00;100.00;3;4
1017;04/01/2025 10:20:00;1J0.00;3;4
1018;04/01/2025 10:20:00;1J0.00;I;4
1019;04/01/2025 10:20:00;100.00;3;UJ


